AMF_Species,RF22,WET5,WET14,WET19,WOOD3,WOOD6,WOOD10,WOOD11,WOOD1,WOOD2,WOOD16,WOOD17,WOOD20,WOOD23,WOOD24,WOOD15,ROCK8,ROCK9,ROCK12,ROCK13,ROCK18,ROCK21,DIST7,DIST4,MINE25,MINE26,MINE27,MINE28,MINE29,MINE30,MINE31
Scutellospora_1,10,8,0,0,0,0,2,4,2,16,0,0,0,0,2,0,0,0,10,1,0,54,0,0,34,0,0,0,0,0,0
Scutellospora_2,0,0,78,3,9,55,81,44,53,47,12,2,2,1,26,12,46,17,132,90,16,64,36,88,55,0,1,0,4,0,29
Scutellospora_3,17,0,16,9,0,5,1,2,20,14,13,8,4,4,5,1,2,0,0,4,2,0,5,0,1,0,0,0,0,0,0
Scutellospora_4,0,0,0,0,0,35,0,0,0,0,49,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Scutellospora_5,0,0,0,0,0,0,14,12,38,6,0,0,0,0,0,3,14,11,40,18,0,49,14,0,0,0,0,0,0,0,55
Scutellospora_6,1,260,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scutellospora_7,18,0,0,0,0,20,11,18,0,5,13,14,0,20,0,3,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Gigaspora_1,5,6,0,0,4,2,4,0,0,0,0,2,4,5,9,0,19,1,7,1,0,0,0,0,3,0,0,0,0,0,13
Acaulospora_1,17,1,48,5,70,158,104,46,63,75,86,28,125,13,47,30,165,180,316,48,109,117,87,15,0,0,0,0,8,0,19
Acaulospora_2,23,0,96,0,0,228,54,30,174,46,65,41,13,0,41,69,51,161,236,144,1,826,0,141,644,0,128,0,0,0,0
Acaulospora_3,0,0,0,0,4,12,7,4,27,59,11,9,38,0,0,2,0,128,20,42,0,7,6,0,4,0,0,0,0,1,0
Acaulospora_4,21,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaulospora_5,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,159,0,0,0,0,0,147,0,0,0,13,0,0,0,1624
Acaulospora_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomus_1,94,0,260,88,130,180,130,62,49,112,52,63,246,11,36,8,518,520,97,19,378,240,62,15,0,9,0,0,0,0,0
Glomus_2,0,0,331,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomus_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,22
Glomus_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
