"","Genus","Species","Variety","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Name"
"1","Acremonium","berkeleyanum","","asexual","conidia",NA,3.5,5.8,8.1,NA,1.5,2.5,NA,"um",7.30420291959627,"Acremonium berkeleyanum "
"2","Acremonium","cerealis","","asexual","conidia",NA,4,5.3,NA,NA,2.5,3.7,NA,"um",11.3215145253742,"Acremonium cerealis "
"3","Acremonium","furcatum","","asexual","conidia",NA,3,3.7,NA,NA,1.6,2.1,NA,"um",4.86750511765569,"Acremonium furcatum "
"4","Acremonium","fusidioides","","asexual","globose_conidia",NA,3.4,4.7,NA,NA,3.4,4.7,NA,"um",12.8824933751266,"Acremonium fusidioides "
"5","Acremonium","fusidioides","","asexual","fusiform_conidia",NA,4.9,6.4,NA,NA,1.2,2.1,NA,"um",7.32187437827271,"Acremonium fusidioides "
"6","Acremonium","kiliense","","asexual","conidia",NA,3.1,5.8,NA,NA,1,1.6,NA,"um",4.54352837525424,"Acremonium kiliense "
"7","Acremonium","luzulae","","asexual","conidia",NA,5.2,8.2,NA,NA,1.9,2.8,NA,"um",12.3660940826928,"Acremonium luzulae "
"8","Acremonium","murorum","","asexual","conidia",NA,3.4,5.7,NA,NA,2,3.7,NA,"um",10.1846506838564,"Acremonium murorum "
"9","Acremonium","rutilum","","asexual","conidia",NA,3,6,NA,NA,2,3.3,NA,"um",9.36587309851457,"Acremonium rutilum "
"10","Acremonium","strictum","","asexual","conidia",NA,3.3,5.5,NA,NA,0.9,1.8,NA,"um",4.66526509058084,"Acremonium strictum "
"11","Acrophialophora","fusispora","","asexual","conidia",NA,5,12,NA,NA,3,6,NA,"um",30.0414797499524,"Acrophialophora fusispora "
"12","Acrostalagamus","luteoalbus","","asexual","conidia",NA,3.5,5,NA,NA,2,2.5,NA,"um",7.5103699374881,"Acrostalagamus luteoalbus "
"13","Actinomucor","elegans","","asexual","conidia",NA,6,8,NA,NA,6,8,NA,"um",38.484510006475,"Actinomucor elegans "
"14","Ajellomyces","capsulatus","","sexual","ascospores",NA,1.5,2.5,NA,NA,1.5,2.5,NA,"um",3.14159265358979,"Ajellomyces capsulatus "
"15","Ajellomyces","capsulatus","","asexual","conidia",NA,2,6,NA,NA,2,6,NA,"um",12.5663706143592,"Ajellomyces capsulatus "
"16","Alternaria","alternata","","asexual","conidia",NA,18,63,NA,NA,7,18,NA,"um",397.607820219958,"Alternaria alternata "
"17","Alternaria","tenuissima","","asexual","conidia",NA,3,5,10,NA,2,4,NA,"um",9.42477796076938,"Alternaria tenuissima "
"18","Amorphotheca","resinae","","asexual","conidia",NA,3,7,NA,NA,2,4,NA,"um",11.7809724509617,"Amorphotheca resinae "
"19","Aphanoascus","fulvescens","","asexual","conidia",NA,10,12,NA,NA,7,8,NA,"um",64.7953484802895,"Aphanoascus fulvescens "
"20","Aphanomyces","euteiches","","sexual/asexual","oospore",18,20,23,25,18,20,23,25,"um",363.05030103047,"Aphanomyces euteiches "
"21","Apiosordaria","verruculosa","","sexual","ascospores",NA,26,29,NA,NA,11,17,NA,"um",302.378292908018,"Apiosordaria verruculosa "
"22","Apiosordaria","verruculosa","","asexual","conidia",NA,2.5,3.5,NA,NA,1.7,2.5,NA,"um",4.94800842940392,"Apiosordaria verruculosa "
"23","Apiospora","montagnei","","sexual","ascospores",NA,19,33,NA,NA,7,11,NA,"um",183.783170235003,"Apiospora montagnei "
"24","Apiospora","montagnei","","asexual","conidia",NA,5.5,8,NA,NA,3,4.5,NA,"um",19.8803910109979,"Apiospora montagnei "
"25","Arachniotus","ruber","","sexual","ascospores",NA,5.5,7,NA,NA,4,5,NA,"um",22.0893233455532,"Arachniotus ruber "
"26","Arachniotus","ruber","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"um",NA,"Arachniotus ruber "
"27","Arhrinium","phaeospermum","","asexual","conidia",NA,8,12,NA,NA,5,7,NA,"um",47.1238898038469,"Arhrinium phaeospermum "
"28","Arthrobotrys","arthrobotryoides","","asexual","conidia",NA,7,30,NA,NA,10,14,16,"um",174.358392274234,"Arthrobotrys arthrobotryoides "
"29","Arthrobotrys","conoides","","asexual","conidia",NA,18,36,NA,NA,8,15,NA,"um",243.866129734908,"Arthrobotrys conoides "
"30","Arthrobotrys","oligospora","","asexual","conidia",NA,22,27,NA,NA,8,15,NA,"um",221.285932537231,"Arthrobotrys oligospora "
"31","Arthrobotrys","psychrophila","","asexual","conidia",NA,46,71,NA,NA,21,29,NA,"um",1148.64481396877,"Arthrobotrys psychrophila "
"32","Arthrobotrys","superba","","asexual","conidia",NA,12,22,NA,NA,6,11,NA,"um",113.490034610931,"Arthrobotrys superba "
"33","Arthroderma","cuniculi","","sexual","ascospores",NA,2.2,2.9,NA,NA,1.4,2,NA,"um",3.40470103832794,"Arthroderma cuniculi "
"34","Arthroderma","cuniculi","","asexual","conidia",NA,2.4,5.3,NA,NA,1.2,2,NA,"um",4.83805268652828,"Arthroderma cuniculi "
"35","Arthroderma","curreyi","","asexual","conidia",NA,2.5,6,NA,NA,1.5,2,NA,"um",5.84139884026852,"Arthroderma curreyi "
"36","Arthroderma","insingulare","","asexual","conidia",NA,6,30,NA,NA,2,5,NA,"um",49.4800842940392,"Arthroderma insingulare "
"37","Arthroderma","lenticulare","","sexual","ascospores",NA,2,3,NA,NA,1.8,2.5,NA,"um",4.22151512826128,"Arthroderma lenticulare "
"38","Arthroderma","lenticulare","","asexual","conidia",NA,3,6.5,NA,NA,1.5,3.5,NA,"um",9.3266031903447,"Arthroderma lenticulare "
"39","Arthroderma","quadrifidum","","sexual","ascospores",NA,2,3,NA,NA,1.8,2.5,NA,"um",4.22151512826128,"Arthroderma quadrifidum "
"40","Arthroderma","quadrifidum","","asexual","conidia",NA,3,6.5,NA,NA,1.5,3.5,NA,"um",9.3266031903447,"Arthroderma quadrifidum "
