### Trait data from Hart and Reader, undisturbed conditions (various papers, calculated from original data, information on disturbance in Tropical Ecology paper)
# compiled by Jeff Powell (jeffpowell2@gmail.com)
# Most taxa isolated from the LTMRS (including both A. spinosa isolates), should remove those from elsewhere (INVAM)
#
# tab-delimited
#
#"Genus_species": taxon
#"clade": higher-order grouping, generally to family level (need to check this)
#"host": plant species during experiment
#
### the following traits were estimated after 
#"hyphlength": abundance in soil in m/g (think this is correct units)
#"amf_col": percent root length colonized by AM fungus
#"p_mg_g": mg phosphorus per g of dry shoot biomass 
#"biomass_g": dry shoot biomass in g
#"p_mg": estimated mg phosphorus in entire shoot
#"soil_ergo": egosterol content of soil (ng/g soil, I think)
#"root_ergo": egosterol content of root (ng/g root, I think)
#"no_spores": number of AM fungal spores per gram of soil
#
### the following trait estimates are derived via fitting time-series data to a sigmoidal model, except for days_to_firstcol
#
#"a_max.hyph.fit": estimated maximum hyphal length in soil (m/g)
#"xo_days.half.max.fit": estimated number of days to reach the maximal hyphal growth rate in soil
#"b_slope.hyph.fit": estimated maximal hyphal growth rate in soil
#"days_to_firstcol": number of days to detect AM fungal root colonization
#
"Genus_species"	"clade"	"host"	"hyphlength"	"amf_col"	"p_mg_g"	"biomass_g"	"p_mg"	"soil_ergo"	"root_ergo"	"no_spores"	"a_max.hyph.fit"	"xo_days.half.max.fit"	"b_slope.hyph.fit"	"days_to_firstcol"
"Acaulospora_morrowiae"	"Acaulosporaceae"	"Plantago_lanceolata"	1.474	4.4	1.66	0.468	0.77688	0.504	1.072	7.298	1.499532	13.163589	19.86276	84
"Acaulospora_morrowiae"	"Acaulosporaceae"	"Plantago_major"	1.324	1.2	1.84	0.292	0.53728	0.376	0.918	4.794	1.310455	14.163795	16.15135	84
"Acaulospora_morrowiae"	"Acaulosporaceae"	"Poa_annua"	1.466	2.8	1.78	0.62	1.1036	0.428	1.068	5.914	1.455187	12.359401	18.16877	84
"Acaulospora_morrowiae"	"Acaulosporaceae"	"Poa_pratensis"	1.644	9.4	2.56	0.238	0.60928	0.538	1.19	5.648	1.706332	12.456714	21.81794	54
"Acaulospora_spinosa_1"	"Acaulosporaceae"	"Plantago_lanceolata"	1.582	15.2	1.78	0.582	1.03596	0.59	1.26	6.15	1.623295	14.89027	13.81284	19
"Acaulospora_spinosa_1"	"Acaulosporaceae"	"Plantago_major"	1.474	12.4	1.76	0.264	0.46464	0.516	1.126	5.688	1.524444	17.544614	16.53307	19
"Acaulospora_spinosa_1"	"Acaulosporaceae"	"Poa_annua"	1.662	16.8	1.78	0.318	0.56604	0.526	1.256	2.936	1.650594	14.298029	14.99124	19
"Acaulospora_spinosa_1"	"Acaulosporaceae"	"Poa_pratensis"	1.732	18.4	2.12	0.266	0.56392	0.58	1.408	4.942	1.775467	12.318719	12.50873	19
"Acaulospora_spinosa_2"	"Acaulosporaceae"	"Plantago_lanceolata"	1.778	27.4	1.98	0.486	0.96228	0.57	1.412	2.792	1.798155	15.577595	17.17377	5
"Acaulospora_spinosa_2"	"Acaulosporaceae"	"Plantago_major"	1.664	21	1.66	0.308	0.51128	0.618	1.268	5.05	1.763428	22.7251	18.41177	26
