Species,W,V,G,O,L,F,S,R
Glomus aggregatum,0,0,0,0,0,12,34,8
Glomus caledonium,0,1,0,8,10,23,18,0
Glomus mosseae,24,55,29,29,48,31,57,45
Glomus geosporum,34,16,47,23,17,7,10,3
Glomus occultum,90,17,103,33,20,60,14,5
Glomus etunicatum,26,22,50,52,29,63,10,3
Glomus constrictum,28,68,42,35,19,4,5,1
Glomus diaphanum,5,2,67,31,44,51,26,12
Scutellospora calospora,3,101,47,31,5,15,0,5
Glomus fasciculatum,112,34,89,14,12,24,7,0
Glomus sp BR9,384,132,342,39,40,0,0,0
Glomus invermaium,51,6,86,63,27,0,0,0
Glomus dominikii,1,0,5,3,3,0,0,0
Acaulospora laevis,0,1,30,40,0,0,0,0
Acaulospora paulinae,0,0,32,64,0,0,0,0
Acaulospora longula,0,0,0,4,0,0,0,0
Acaulospora scrobiculta,0,0,0,2,0,0,0,0
Scutellopora pellucida,0,0,0,19,0,0,0,0
Glomus heterosporum,152,167,85,0,0,0,0,0
Glomus macrocarpum,14,270,3,0,0,0,0,0
Glomus sp BR2,195,36,166,2,0,0,0,0
Glomus constrictum,11,140,15,0,0,0,0,0
Entrophospora infrequens,5,1,1,0,0,0,0,0
Glomus sp BR4,466,5,268,0,0,0,0,0
Glomus sp BR5,31,51,0,0,0,0,0,0
Glomus microcarpum,13,19,0,0,2,0,0,0
Glomus sp BR6,0,0,12,0,0,0,0,0
Glomus mortonii,0,334,0,0,0,0,0,0
Glomus rubiforme,0,295,0,0,0,0,0,0
Glomus sp BR7,0,63,0,0,0,0,0,0
Glomus sp BR8,0,16,0,0,0,0,0,0
Glomus globiferum,0,2,0,0,0,0,0,0
Glomus ambisporum,94,0,0,0,0,0,0,0
Glomus sinuosum,57,0,0,0,0,0,0,0
Glomus versiforme,44,0,0,0,0,0,0,0
Glomus tortuosum,5,0,0,0,0,0,0,0
Archeospora leptoticha,3,0,0,0,0,0,0,0
