good.names,SpeciesFungorum ID,"Basionyms, synonyms & additional comments",,,
Acaulospora,,,Trappe & Gerd. (1974),Acaulosporaceae,Diversisporales
Acaulospora alpina,501327,Molecular and morphological evidence based on field material.,"Oehl, Sýkorová & Sieverd. (2006)",Acaulosporaceae,Diversisporales
Acaulospora baetica,none yet,species not (yet?)  included in Index Fungorum / Species Fungorum databases,"Palenz., Oehl, Azcón-Aguilar & G.A. Silva (2015)",Acaulosporaceae,Diversisporales
Acaulospora brasiliensis,518748,"Basionym: Ambispora brasiliensis B.T. Goto, L.C. Maia & Oehl (2008)","(B.T. Goto, L.C. Maia & Oehl) C. Walker, M. Krüger & A. Schüßler (2011)",Acaulosporaceae,Diversisporales
Acaulospora cavernata,,"A culture, at first considered to be Acaulospora scrobiculata, was established from 5 spores from the UK, and registered as BEG33. All spores appeared to have ornamentation similar to A. scrobiculata but the spores produced now are predominantly similar to the type of A. cavernata. Because the type material of A. cavernata is not suitable for molecular study BEG33 was designated as an epitype for the species.",B?aszk. (1989),Acaulosporaceae,Diversisporales
Acaulospora colliculosa,,Molecular analysis based on authenticated specimens taken from the field. Closely related and also similar in spore morphology to A. brasiliensis.,"Kaonongbua, J.B. Morton & Bever (2010)",Acaulosporaceae,Diversisporales
Acaulospora colombiana,515730,Basionym: Entrophospora colombiana Spain & N.C. Schenck (1984) Synonyms: Kuklospora colombiana Oehl & Sieverd. (2006),"(Spain & N.C. Schenck) Kaonongbua, J.B. Morton & Bever (2010)",Acaulosporaceae,Diversisporales
Acaulospora delicata,,,"C. Walker, C.M. Pfeiff. & Bloss (1986)",Acaulosporaceae,Diversisporales
Acaulospora dilatata,,,J.B. Morton (1986),Acaulosporaceae,Diversisporales
Acaulospora entreriana,,,M.S. Velázquez & Cabello (2008),Acaulosporaceae,Diversisporales
Acaulospora foveata,,"Molecular evidence from two INVAM cultures, CR315 and CR401A. The species description does not illustrate the full amount of variation in the spore ornamentation of the type material. The ornamentation illustrated for culture BR861 on the INVAM website is not entirely consistent with that of the type material for the species. It seems likely that ornamentation is somewhat variable.",Trappe & Janos (1982),Acaulosporaceae,Diversisporales
Acaulospora ignota,,,"B?aszk., Góralska, Chwat&Goto (2015)",Acaulosporaceae,Diversisporales
Acaulospora kentinensis,515731,Basionym: Entrophospora kentinensis C.G. Wu & Y.S. Liu (1995) Synonyms: Kuklospora kentinensis Oehl & Sieverd. (2006),"(C.G. Wu & Y.S. Liu) Kaonongbua, J.B. Morton & Bever (2010)",Acaulosporaceae,Diversisporales
Acaulospora koskei,,,B?aszk. (1995),Acaulosporaceae,Diversisporales
Acaulospora lacunosa,,,J.B. Morton (1986),Acaulosporaceae,Diversisporales
Acaulospora laevis,,,Gerd. & Trappe (1974),Acaulosporaceae,Diversisporales
Acaulospora longula,,,Spain & N.C. Schenck (1984),Acaulosporaceae,Diversisporales
Acaulospora mellea,,,Spain & N.C. Schenck (1984),Acaulosporaceae,Diversisporales
Acaulospora minuta,561834,,"Oehl, Tchabi, Hountondji, Palenz., I.C. Sánchez & G.A. Silva (2011)",Acaulosporaceae,Diversisporales
Acaulospora morrowiae,105904,,Spain & N.C. Schenck (1984) [as 'morrowae'],Acaulosporaceae,Diversisporales
Acaulospora nivalis,563493,,"Oehl, Palenz., I.C. Sánchez, G.A. Silva & Sieverd. (2012)",Acaulosporaceae,Diversisporales
Acaulospora paulinae,,"Compare with A. undulata. Species descriptions of A. undulata and A. paulinae are very similar. One of the differences that was considered important in separating the species was that A. undulata did not react in Melzer’s reagent. However, this reaction in members of Acaulospora varies with condition of the specimens, and Kaonongbua et al (2010) (see A. colliculosa) have indicated that reaction to this reagent in any case may not be a useful phylogenetic signal.",B?aszk. (1988),Acaulosporaceae,Diversisporales
Acaulospora punctata,,,"Oehl, Palenz., I.C. Sánchez, G.A. Silva, C. Castillo & Sieverd. (2012)",Acaulosporaceae,Diversisporales
Acaulospora pustulata,802631,,"Palenz., Oehl, Azcón-Aguilar & G.A. Silva (2013)",Acaulosporaceae,Diversisporales
Acaulospora scrobiculata,,,Trappe (1977),Acaulosporaceae,Diversisporales
Acaulospora sieverdingii,518941,,"Oehl, Sýkorová & B?aszk. (2011)",Acaulosporaceae,Diversisporales
Acaulospora spinosa,,,C. Walker & Trappe (1981),Acaulosporaceae,Diversisporales
Acaulospora spinosissima,804884,,"Oehl, Palenz., I.C. Sánchez, Tchabi, Hount. & G.A.Silva (2014)",Acaulosporaceae,Diversisporales
Acaulospora tortuosa,802632,,"Palenz., Oehl, Azcón-Aguilar & G.A. Silva (2013)",Acaulosporaceae,Diversisporales
Acaulospora tuberculata,,,Janos & Trappe (1982),Acaulosporaceae,Diversisporales
Acaulospora viridis,804883,,"Palenz., Oehl, Azcón-Aguilar & G.A.Silva (2014)",Acaulosporaceae,Diversisporales
Acaulospora,,species of uncertain phylogenetic position,,,
Acaulospora bireticulata,,"Probably a heterotypic synonym of A. elegans, which appears like A. bireticulata when using Nomarski differential interference microscopy.",F.M. Rothwell & Trappe (1979),,
Acaulospora capsicula,,"Many similarities with A. laevis, but described as having a reaction to Melzer’s reagent.",B?aszk. (1990),,
Acaulospora colossica,,"Similar to A. laevis, described as lacking a reaction to Melzer’s reagent.","P.A. Schultz, Bever & J.B. Morton (1999)",,
Acaulospora denticulata,,,Sieverd. & S. Toro (1987),,
Acaulospora elegans,,Compare with A. bireticulata  ,Trappe & Gerd. (1974),,
Acaulospora excavata,,"The ornamentation is of large deep cavities, leading to the suspicion that it belongs with such organisms as A. scrobiculata.",Ingleby & C. Walker (1994),,
Acaulospora gedanensis,,,B?aszk. (1988),,
Acaulospora myriocarpa,,,"Spain, Sieverd. & N.C. Schenck (1986)",,
Acaulospora nicolsonii,,"Probably belongs in Ambispora, but must remain in Acaulospora pending molecular or other evidence.","C. Walker, L.E. Reed & F.E. Sanders (1984)",,
Acaulospora polonica,,,B?aszk. (1988),,
Acaulospora punctata,561543,,"Oehl, Palenz., I.C. Sánchez, G.A. Silva, C. Castillo & Sieverd.(2012)",,
Acaulospora rehmii,,,Sieverd. & S. Toro (1987),,
Acaulospora rugosa,,,J.B. Morton (1986),,
Acaulospora splendida,,"Produces acaulosporoid spores, but they do not seem to share characteristics with other members of the genus. No molecular data available, thus the species is retained in its current genus.","Sieverd., Chaverri & I. Rojas (1988)",,
Acaulospora sporocarpia,,,S.M. Berch (1985),,
Acaulospora taiwania,,"Very unlikely to be an Acaulospora species. In the species description, it is described as being produced in sporocarps. The illustrations of the species are of such poor quality that it is impossible to draw conclusions other than that it does not look much like an Acaulospora fungus. Type material reported to be lost.",H.T. Hu (1988),,
Acaulospora thomii,,"Said to be fundamentally different from other species in the genus, and has been considered as a possible member of Archaeospora. One major consideration was the lack of reaction to Melzer’s reagent, but this is not unknown among the ornamented, small-spored species in Acaulospora. Until more is known recombining it within a different genus would be speculative.",B?aszk. (1988),,
Acaulospora undulata,,"Compare with A. paulinae, see comments given for A. paulinae.",Sieverd. (1988),,
Acaulospora walkeri,,"Known only from field collected material, this species is close in morphology to other species in the genus with small, smooth, yellow spores.",Kramad. & Hedger (1990),,
Ambispora,, back to top,"C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
Ambispora appendicula,,"Basionym: Acaulospora appendicula Spain, Sieverd. & N.C. Schenck (1984)  Synonyms: Appendicispora appendicula Spain, Oehl & Sieverd. (2006), Paracaulospora appendicula S.P. Gautam & U.S. Patel (2007)",C. Walker (2008),Ambisporaceae,Archaeosporales
Ambispora callosa,,"Basionym: Glomus callosum Sieverd. (1988) Synonyms: Appendicispora callosa C. Walker, Vestberg & Schuessler (2007)"," C. Walker, Vestberg & Schuessler (2007)",Ambisporaceae,Archaeosporales
